fname,mname,lname,empID,dob,address,mobile,email,faculty
Aila,Ariadne,Macias,1403752589,17-May-70,"191 Maiden St., Irvington, NJ 07111",(972) 347-5729,maciasAI@uni.db,Humanities
Katelyn,Jubilee,Flores,1403949540,10-Jan-80,"92 Windfall Dr., Myrtle Beach, SC 29577",(511) 744-5218,floresKA@uni.db,Humanities
Sariyah,Riya,Hendrix,1403550485,02-Nov-82,"965 Nut Swamp Rd., Troy, NY 12180",(544) 493-5540,hendrixSA@uni.db,Agriculture
Azariah,Zyla,Knapp,1403444076,02-Sep-83,"8192 Ridgewood Dr., Mount Vernon, NY 10550",(780) 201-7577,knappAZ@uni.db,Science
Bexley,Aminah,Strickland,1403314633,11-Aug-77,"17 East Schoolhouse Drive, Ithaca, NY 14850",(508) 750-5502,stricklandBE@uni.db,Humanities
Giana,Campbell,Mccoy,1403613667,29-Jan-84,"986 Dunbar Ave., Painesville, OH 44077",(604) 896-2397,mccoyGI@uni.db,Humanities
Lea,Meera,Frazier,1403254288,15-Jan-77,"550 Leeton Ridge Dr., Homestead, FL 33030",(742) 212-9016,frazierLE@uni.db,Humanities
Cadence,Tara,Atkinson,1403556320,28-Mar-71,"939 Rockcrest Street, Saratoga Springs, NY 12866",(459) 205-3947,atkinsonCA@uni.db,Science
Mavis,Aadhya,Hicks,1403306669,30-May-74,"84 Walnut Street, Aiken, SC 29803",(922) 727-7037,hicksMA@uni.db,Agriculture
Ila,Jayde,Deleon,1403860331,13-Apr-82,"924 Rose Rd., East Orange, NJ 07017",(285) 358-1006,deleonIL@uni.db,Science
Rivka,Patricia,Sanford,1403124809,18-Mar-68,"666 Woodside Lane, Gastonia, NC 28052",(818) 235-7689,sanfordRI@uni.db,Arts
Jovie,Raylynn,Delacruz,1403395864,08-Dec-78,"11 Glenholme Drive, Charlottesville, VA 22901",(427) 847-9565,delacruzJO@uni.db,Agriculture
Yareli,Robyn,Klein,1403659074,28-Sep-80,"299 Durham St., Miami, FL 33125",(411) 852-5481,kleinYA@uni.db,Arts
Bellamy,Dalilah,Macdonald,1403334066,08-Dec-83,"437 SW. Belmont Lane, Fort Wayne, IN 46804",(325) 350-5170,macdonaldBE@uni.db,Agriculture
Kamiyah,Emilie,Marshall,1403428674,21-Sep-79,"489 Poplar Drive, Grovetown, GA 30813",(248) 737-3242,marshallKA@uni.db,Arts
Kara,Janessa,Steele,1403739895,26-Jul-83,"514 South Littleton Street, Findlay, OH 45840",(698) 569-3588,steeleKA@uni.db,Architecture
Baylee,Kacey,Khan,1403910722,21-Oct-85,"102 Ann St., New Hyde Park, NY 11040",(381) 216-1535,khanBA@uni.db,Engineering
Jianna,Khadija,Madden,1403639126,13-Jan-90,"836 High Ridge St., Sevierville, TN 37876",(898) 893-7809,maddenJI@uni.db,Arts
Kai,Madalynn,Foley,1403580315,17-Mar-89,"724 South Windsor St., Fairport, NY 14450",(461) 831-2260,foleyKA@uni.db,Arts
Alena,Milah,Vang,1403915903,03-Feb-85,"9117 N. New Rd., North Attleboro, MA 02760",(477) 635-9744,vangAL@uni.db,Humanities
Novalee,Viola,Briggs,1403325656,09-May-73,"80 Ashley Lane, Melbourne, FL 32904",(995) 894-6281,briggsNO@uni.db,Engineering
Elliot,Ayanna,Potter,1403243110,18-Feb-72,"22 Wellington Ave., Milledgeville, GA 31061",(477) 989-2728,potterEL@uni.db,Science
Livia,Kinsleigh,Elliott,1403748770,07-Jan-79,"22 West York Court, Cumming, GA 30040",(607) 769-8076,elliottLI@uni.db,Humanities
Ashlynn,Maliah,Diaz,1403918226,03-May-84,"182 South Newport St., Roseville, MI 48066",(971) 642-5679,diazAS@uni.db,Engineering
Denver,Alaiyah,Vincent,1403686626,04-Jul-83,"8778 Grand Avenue, West Des Moines, IA 50265",(614) 773-9041,vincentDE@uni.db,Humanities
Emmalyn,Alannah,Christensen,1403360845,06-Jun-69,"7816 James Dr., Griffin, GA 30223",(448) 451-7559,christensenEM@uni.db,Agriculture
Persephone,Amiya,Joseph,1403465558,26-Jul-69,"76 Aspen St., Savage, MN 55378",(709) 239-7788,josephPE@uni.db,Social Work
Marceline,Mollie,Roman,1403652131,29-Sep-70,"8738 Vernon Ave., Warwick, RI 02886",(661) 841-2058,romanMA@uni.db,Architecture
Jazmine,Neveah,Sosa,1403150052,28-Feb-85,"9406 Joy Ridge Drive, Carrollton, GA 30117",(554) 317-4421,sosaJA@uni.db,Social Work
Kiana,Roxanne,Beck,1403672771,14-Aug-80,"9090 Squaw Creek Drive, Malden, MA 02148",(252) 876-5599,beckKI@uni.db,Arts
Mikaela,Adrienne,Merritt,1403536822,23-Apr-73,"90 Main Ave., Waterford, MI 48329",(840) 442-8842,merrittMI@uni.db,Engineering
Aliya,Betty,Fernandez,1403981843,03-Aug-71,"7504 Applegate Rd., Bradenton, FL 34203",(529) 420-8381,fernandezAL@uni.db,Science
