fname,mname,lname,studentNo,dob,address,mobile,email,faculty
Olivia,Kynsley,Chung,2344185478,19-Dec-98,"715 Glen Ridge St., Hattiesburg, MS 39401",(577) 449-1498,chungOL@myuni.db,Science
Charlotte,Landrie,Chen,2344568350,14-Mar-96,"73 Wild Horse Ave., Athens, GA 30605",(755) 819-2681,chenCH@myuni.db,Arts
Ava,Liara,Melton,2344862287,07-Aug-04,"9025 South Poor House St., Winter Park, FL 32792",(869) 708-5575,meltonAV@myuni.db,Arts
Isabella,Livi,Hill,2344994400,12-Aug-97,"4 Walt Whitman Ave., Sunnyside, NY 11104",(444) 540-3259,hillIS@myuni.db,Science
Evelyn,Marlen,Puckett,2344119383,08-Jun-05,"388 Dogwood St., Dickson, TN 37055",(214) 863-4715,puckettEV@myuni.db,Humanities
Luna,October,Song,2344850346,08-Jan-96,"349 West Gartner St., Bethesda, MD 20814",(321) 542-1638,songLU@myuni.db,Social Work
Gianna,Rhyleigh,Hamilton,2344762687,14-Feb-05,"181 Arch St., Melrose, MA 02176",(749) 560-5626,hamiltonGI@myuni.db,Arts
Eleanor,Roisin,Bender,2344774728,10-Feb-05,"253 Lilac St., Hollywood, FL 33020",(596) 335-0479,benderEL@myuni.db,Humanities
Abigail,Zen,Wagner,2344907632,19-May-04,"689 North Leeton Ridge Dr., Kalispell, MT 59901",(348) 322-1455,wagnerAB@myuni.db,Social Work
Avery,Amna,McLaughlin,2344874930,28-Aug-95,"1 Cardinal Street, Delaware, OH 43015",(244) 632-2200,mclaughlinAV@myuni.db,Social Work
Emily,Analucia,McNamara,2344610180,28-Sep-00,"29 Railroad Street, Upland, CA 91784",(804) 764-4955,mcnamaraEM@myuni.db,Humanities
Penelope,Beth,Raynor,2344250480,31-Jan-00,"261 Peninsula St., West Haven, CT 06516",(302) 944-7631,raynorPE@myuni.db,Humanities
Layla,Blaise,Moon,2344147820,06-Jul-99,"258 Pacific Street, Elizabeth City, NC 27909",(838) 905-8747,moonLA@myuni.db,Humanities
Nora,Calia,Woodard,2344906800,16-May-00,"8506 North Studebaker Street, Parkville, MD 21234",(632) 985-2088,woodardNO@myuni.db,Arts
Madison,Darianna,Desai,2344999356,14-Apr-98,"68 Lake Drive, Lake Jackson, TX 77566",(497) 420-7793,desaiMA@myuni.db,Arts
Lily,Eastyn,Wallace,2344547329,29-Dec-97,"56 Edgefield Ave., Roslindale, MA 02131",(703) 328-5550,wallaceLI@myuni.db,Humanities
Isla,Emalyn,Lawrence,2344511209,30-Sep-05,"7920 Manor Drive, Patchogue, NY 11772",(229) 842-9019,lawrenceIS@myuni.db,Engineering
Violet,Islay,Griffin,2344427438,23-Jun-96,"9005 Canal St., Fort Walton Beach, FL 32547",(886) 771-2508,griffinVI@myuni.db,Science
Riley,Jariah,Dougherty,2344883011,08-Jan-04,"80 Longfellow St., Newington, CT 06111",(662) 538-1292,doughertyRI@myuni.db,Architecture
Willow,Jelani,Powers,2344492227,12-Mar-04,"77 53rd Street, Elkhart, IN 46514",(639) 832-0492,powersWI@myuni.db,Architecture
Stella,Jozie,May,2344626903,02-Jun-03,"63 Stillwater Ave., Ashtabula, OH 44004",(380) 753-2294,mayST@myuni.db,Engineering
Victoria,Kaylah,Steele,2344764124,14-Apr-02,"83 Old Pierce Rd., Palm Bay, FL 32907",(978) 634-8694,steeleVI@myuni.db,Arts
Addison,Khloee,Teague,2344478470,27-May-00,"7661 N. Gainsway St., Bensalem, PA 19020",(687) 254-4385,teagueAD@myuni.db,Architecture
Lucy,Leiah,Vick,2344513645,24-Sep-97,"16 Leatherwood St., Calumet City, IL 60409",(350) 865-3795,vickLU@myuni.db,Agriculture
Ivy,Lexington,Gallagher,2344203073,27-Dec-99,"871 Livingston Court, Canal Winchester, OH 43110",(382) 680-0710,gallagherIV@myuni.db,Humanities
Lillian,Lovelyn,Solomon,2344307330,28-Feb-99,"514 Tarkiln Hill Dr., Aiken, SC 29803",(394) 858-4536,solomonLI@myuni.db,Arts
Elena,Nahia,Walsh,2344346121,25-Apr-96,"123 Bridge Drive, Dundalk, MD 21222",(592) 335-1997,walshEL@myuni.db,Agriculture
Maya,Nikita,Monroe,2344168095,25-Oct-03,"35 Joy Ridge Street, Palmetto, FL 34221",(276) 632-8330,monroeMA@myuni.db,Engineering
Kinsley,Peighton,Connolly,2344348696,25-May-01,"23 Schoolhouse Street, Summerville, SC 29483",(412) 459-3073,connollyKI@myuni.db,Science
Claire,Rachael,Hawkins,2344597377,07-Apr-97,"8 Surrey Lane, Vernon Rockville, CT 06066",(691) 355-4557,hawkinsCL@myuni.db,Engineering
Aaliyah,Shia,Middleton,2344254794,31-Jul-98,"19 Windfall St., Palatine, IL 60067",(632) 635-8047,middletonAA@myuni.db,Social Work
Brooklyn,Tanner,Goldstein,2344330846,10-Feb-02,"15 S. Pineknoll Dr., Thibodaux, LA 70301",(449) 576-7114,goldsteinBR@myuni.db,Agriculture
Aubrey,Therese,Watts,2344419443,08-Apr-03,"123 West Glendale Lane, Marion, NC 28752",(851) 481-1106,wattsAU@myuni.db,Arts
Leilani,Whitlee,Johnston,2344885253,04-Dec-04,"83 Hanover Avenue, Old Bridge, NJ 08857",(673) 415-7727,johnstonLE@myuni.db,Humanities
Valentina,Wynona,Weeks,2344598858,15-Apr-96,"256 North Jefferson Dr., Tupelo, MS 38801",(201) 360-4301,weeksVA@myuni.db,Engineering
Madelyn,Ameya,Wilkerson,2344885446,12-Oct-00,"226 Penn Street, Mooresville, NC 28115",(201) 714-3125,wilkersonMA@myuni.db,Science
Bella,Auriella,Barton,2344237460,21-Nov-03,"5 Wakehurst Court, Macomb, MI 48042",(926) 434-3972,bartonBE@myuni.db,Social Work
Genesis,Ayden,Walton,2344284246,06-Nov-98,"175 South Ryan Road, Los Banos, CA 93635",(357) 529-1784,waltonGE@myuni.db,Agriculture
Hailey,Brynnley,Hall,2344489077,07-Jun-95,"919 West Rock Creek Road, Billings, MT 59101",(571) 276-7120,hallHA@myuni.db,Agriculture
Natalia,Devon,Ross,2344545508,27-Jul-96,"10 Williams Ave., Lincolnton, NC 28092",(856) 993-4192,rossNA@myuni.db,Social Work
Caroline,Grettel,Woods,2344576469,28-Aug-99,"765 Augusta Rd., Bethel Park, PA 15102",(311) 964-4831,woodsCA@myuni.db,Arts
Gabriella,Ishika,Mangum,2344486380,04-Aug-95,"7113 Richardson St., Mchenry, IL 60050",(249) 729-0409,mangumGA@myuni.db,Humanities
Serenity,Janeth,Joseph,2344985534,11-Oct-02,"27 Marlborough Street, Coram, NY 11727",(784) 975-9575,josephSE@myuni.db,Science
Cora,Jodi,Rosenthal,2344991169,24-Feb-01,"435 East William Street, Glen Cove, NY 11542",(322) 687-1662,rosenthalCO@myuni.db,Humanities
Emery,Kayli,Bowden,2344808876,23-Mar-04,"77 N. White Drive, New Bern, NC 28560",(260) 555-2938,bowdenEM@myuni.db,Humanities
Jade,Laurie,Underwood,2344741675,07-Feb-00,"324 Race Avenue, Circle Pines, MN 55014",(628) 378-1198,underwoodJA@myuni.db,Social Work
Eva,Levy,Jones,2344435172,27-Jun-95,"9092 Edgefield Street, Chesapeake, VA 23320",(776) 623-2109,jonesEV@myuni.db,Arts
Madeline,Maila,Baker,2344760367,05-Jul-97,"226 Silver Spear St., Davenport, IA 52804",(598) 498-3385,bakerMA@myuni.db,Humanities
Rylee,Mallie,Merritt,2344364030,26-Feb-96,"16 W. Linda Ave., Bridgeton, NJ 08302",(611) 593-9447,merrittRY@myuni.db,Arts
Peyton,Monae,Cross,2344407956,28-Mar-95,"977 San Pablo Court, Deerfield, IL 60015",(689) 258-3614,crossPE@myuni.db,Engineering
Vivian,Niah,Cooper,2344428833,17-Jun-03,"998 East Smoky Hollow St., Joliet, IL 60435",(972) 607-2791,cooperVI@myuni.db,Social Work
Raelynn,Novella,Holmes,2344462829,01-Jan-98,"4 Hilldale Drive, Poughkeepsie, NY 12601",(746) 531-4937,holmesRA@myuni.db,Engineering
Samantha,Rheya,Sharpe,2344541424,01-Dec-95,"69 Dogwood Court, Lake Charles, LA 70605",(710) 662-0747,sharpeSA@myuni.db,Social Work
Iris,Talulah,Morgan,2344121047,08-Feb-01,"9395 Carriage Dr., Midlothian, VA 23112",(803) 575-9641,morganIR@myuni.db,Agriculture
Eloise,Winnifred,Hoyle,2344561834,14-Feb-00,"81 Plymouth Ave., Lawrence Township, NJ 08648",(741) 924-5803,hoyleEL@myuni.db,Humanities
Eliza,Aleina,Allen,2344363901,29-Oct-04,"3 S. Beaver Ridge Street, Harlingen, TX 78552",(565) 764-2285,allenEL@myuni.db,Social Work
Melody,Alysson,Rich,2344531200,04-Oct-98,"7565 Glenlake Drive, Southington, CT 06489",(644) 960-3137,richME@myuni.db,Architecture
Parker,Anaiyah,Grant,2344387092,09-Jun-05,"425 Prairie Dr., East Stroudsburg, PA 18301",(700) 720-4693,grantPA@myuni.db,Agriculture
Isabelle,Aryia,Proctor,2344612160,08-Dec-02,"69 Applegate St., Jacksonville, NC 28540",(790) 884-7657,proctorIS@myuni.db,Social Work
Adalynn,Avelina,Diaz,2344762289,15-Sep-99,"55 S. New Drive, Derby, KS 67037",(628) 989-0615,diazAD@myuni.db,Engineering
Eden,Bellami,Graham,2344238782,01-Apr-04,"15 East Lexington Lane, Saginaw, MI 48601",(741) 792-3790,grahamED@myuni.db,Social Work
Mackenzie,Calani,Watkins,2344367797,29-May-95,"59 Depot Street, Powhatan, VA 23139",(712) 583-6074,watkinsMA@myuni.db,Arts
Margaret,Cree,Hinton,2344523662,01-Apr-03,"48 Sunbeam St., Hartsville, SC 29550",(476) 570-2716,hintonMA@myuni.db,Architecture
Charlie,Dinah,Marsh,2344688269,29-Jun-97,"988 Greystone St., Millington, TN 38053",(737) 334-5522,marshCH@myuni.db,Science
Melanie,Ellora,Hewitt,2344317246,09-Aug-02,"161 Circle Ave., Colorado Springs, CO 80911",(299) 588-2520,hewittME@myuni.db,Engineering
Elliana,Evianna,Branch,2344957536,14-Aug-03,"2 Surrey Dr., San Angelo, TX 76901",(486) 334-0262,branchEL@myuni.db,Humanities
Mary,Gretel,Brien,2344613277,22-Mar-96,"866 Edgewood Lane, Howard Beach, NY 11414",(707) 498-1527,brienMA@myuni.db,Humanities
Alina,Kamrynn,Case,2344313937,08-Jul-97,"454 S. Birch Hill St., Sylvania, OH 43560",(262) 246-3578,caseAL@myuni.db,Architecture
Ximena,Keylin,Christensen,2344939451,28-Jan-96,"50 Birch Hill St., Danbury, CT 06810",(233) 408-5147,christensenXI@myuni.db,Arts
Kaylee,Kyara,Parks,2344402271,29-Dec-01,"7221 Bank Rd., Buckeye, AZ 85326",(312) 442-8054,parksKA@myuni.db,Agriculture
Summer,Lian,Hardin,2344819039,28-Nov-03,"7190 Cross Court, Frederick, MD 21701",(937) 761-6815,hardinSU@myuni.db,Agriculture
Sloane,Mabry,Lucas,2344946132,02-Aug-01,"641 Myers Rd., Ringgold, GA 30736",(786) 572-5710,lucasSL@myuni.db,Architecture
Arianna,Nalaya,Eason,2344955542,22-Jun-95,"5 Iroquois St., Deer Park, NY 11729",(699) 818-4137,easonAR@myuni.db,Humanities
Reese,Normani,Davidson,2344911310,16-Jun-01,"469 South Valley View St., West Roxbury, MA 02132",(689) 640-9102,davidsonRE@myuni.db,Agriculture
Sienna,Rikki,Whitehead,2344919261,22-Aug-05,"35 Windsor Dr., Lansdowne, PA 19050",(606) 809-5978,whiteheadSI@myuni.db,Arts
River,Tyra,Rose,2344333500,20-Jul-03,"8751 Laurel Avenue, Cuyahoga Falls, OH 44221",(865) 386-9115,roseRI@myuni.db,Science
Valerie,Adelie,Sparks,2344612362,23-Jul-05,"987 North Pheasant Street, Richardson, TX 75080",(953) 618-9872,sparksVA@myuni.db,Humanities
Genevieve,Aleiah,Moore,2344897717,06-Apr-05,"8797 Helen Ave., West Chicago, IL 60185",(399) 758-0572,mooreGE@myuni.db,Social Work
Valeria,Asees,Pearson,2344541129,26-Dec-04,"98 6th St., North Brunswick, NJ 08902",(954) 555-6486,pearsonVA@myuni.db,Humanities
Kylie,Aysel,Rodgers,2344717211,12-Jun-00,"9140 North Hilltop Dr., Woonsocket, RI 02895",(594) 318-1770,rodgersKY@myuni.db,Science
Amaya,Braylin,Graves,2344978509,09-Apr-03,"64 Thompson Court, Owatonna, MN 55060",(587) 377-1750,gravesAM@myuni.db,Humanities
Ember,Caliana,Scarborough,2344639719,28-Jun-00,"50 Honey Creek Road, Port Huron, MI 48060",(267) 372-0605,scarboroughEM@myuni.db,Science
Georgia,Choyce,Sutton,2344874051,21-Oct-05,"8041 North Middle River St., Ballston Spa, NY 12020",(675) 639-3624,suttonGE@myuni.db,Humanities
Emerson,Fabiana,Sinclair,2344579536,19-Jul-95,"8295 Main Dr., Crawfordsville, IN 47933",(697) 677-7788,sinclairEM@myuni.db,Agriculture
Faith,Hallee,Bowman,2344797181,19-Jun-00,"891 North Bowman Street, Mokena, IL 60448",(597) 496-7579,bowmanFA@myuni.db,Science
Ariella,Ilani,Olsen,2344640727,26-Apr-00,"264 Dogwood St., Fullerton, CA 92831",(527) 764-2059,olsenAR@myuni.db,Engineering
Andrea,Jentry,Love,2344787790,09-Feb-04,"42 Elmwood Street, Ellenwood, GA 30294",(477) 405-9944,loveAN@myuni.db,Agriculture
June,Kalli,McLean,2344566497,17-Nov-99,"7313 Fairground Ave., Riverside, NJ 08075",(317) 205-7949,mcleanJU@myuni.db,Architecture
Callie,Khaliyah,Christian,2344561908,20-Mar-03,"9 Somerset St., Norristown, PA 19401",(510) 692-7920,christianCA@myuni.db,Humanities
Sage,Lillia,Lamb,2344703487,28-Feb-05,"732 Schoolhouse Ave., Hamtramck, MI 48212",(211) 980-1709,lambSA@myuni.db,Agriculture
Anastasia,Mable,James,2344124579,09-Apr-98,"7388 2nd Dr., Medford, MA 02155",(656) 557-1192,jamesAN@myuni.db,Social Work
Alani,Maevyn,Chandler,2344830506,24-Jul-03,"8650 Glenridge Ave., Menomonee Falls, WI 53051",(248) 484-1356,chandlerAL@myuni.db,Agriculture
Rosalie,Mali,Stout,2344146779,16-May-96,"561 Trenton Dr., Eau Claire, WI 54701",(826) 617-5954,stoutRO@myuni.db,Architecture
Brynlee,Rylah,Cowan,2344611010,05-May-01,"781 N. Bald Hill Drive, Maumee, OH 43537",(281) 492-6124,cowanBR@myuni.db,Architecture
Ruth,Sayuri,Golden,2344281589,29-Jun-00,"9259 Hill St., Knoxville, TN 37918",(933) 722-3552,goldenRU@myuni.db,Engineering
Gemma,Stefania,Bowling,2344577954,01-Dec-04,"7542 South Overlook Street, Mansfield, MA 02048",(866) 222-5896,bowlingGE@myuni.db,Engineering
Oakley,Talya,Beasley,2344665498,06-Dec-00,"330 Windsor Dr., Stoughton, MA 02072",(410) 280-6223,beasleyOA@myuni.db,Architecture
Arabella,Zaelynn,Clapp,2344859858,09-Apr-97,"640 Spring Dr., West Des Moines, IA 50265",(347) 260-7174,clappAR@myuni.db,Science
Journee,Advika,Abrams,2344640388,16-May-04,"9120 East Woodside Road, Romeoville, IL 60446",(366) 566-2654,abramsJO@myuni.db,Humanities
Blake,Alizae,Tilley,2344600237,18-Sep-97,"5 Santa Clara Street, Gettysburg, PA 17325",(354) 689-5698,tilleyBL@myuni.db,Architecture
Aspen,Amilah,Morse,2344366278,04-Apr-02,"9229 South Walt Whitman Street, Rego Park, NY 11374",(567) 798-1663,morseAS@myuni.db,Humanities
Selena,Anslee,Boykin,2344281135,07-Jul-05,"501 Arnold Street, Chattanooga, TN 37421",(206) 813-2876,boykinSE@myuni.db,Agriculture
Morgan,Augusta,Sumner,2344725603,31-May-03,"8981 West Fairground Lane, Norwalk, CT 06851",(609) 696-9553,sumnerMO@myuni.db,Engineering
Zuri,Cameryn,Cassidy,2344726569,27-Jul-02,"440 Saxton Street, Linden, NJ 07036",(211) 708-0702,cassidyZU@myuni.db,Arts
Jordyn,Christian,Heath,2344374684,16-Feb-98,"24 St Paul Street, Windsor, CT 06095",(601) 299-5708,heathJO@myuni.db,Architecture
Finley,Deisy,Blanchard,2344166003,28-Jul-99,"8993 Griffin Ave., Bowie, MD 20715",(358) 553-4389,blanchardFI@myuni.db,Agriculture
Zara,Ellerie,McAllister,2344736568,10-Sep-00,"7114 Marsh Lane, Rocklin, CA 95677",(684) 543-2614,mcallisterZA@myuni.db,Agriculture
Marley,Eshaal,McKenzie,2344206594,21-Aug-02,"1 SE. Virginia Ave., Freehold, NJ 07728",(332) 707-6986,mckenzieMA@myuni.db,Engineering
Amira,Eulalia,Byrne,2344595685,31-Mar-04,"283 S. Longbranch Ave., Logansport, IN 46947",(645) 843-7147,byrneAM@myuni.db,Social Work
London,Holley,Schroeder,2344346578,17-Jan-03,"1 Circle Street, Kingsport, TN 37660",(943) 344-4719,schroederLO@myuni.db,Science
Elsie,Jasleen,Gross,2344784254,11-Sep-97,"47 Tarkiln Hill Rd., Cordova, TN 38016",(317) 408-6613,grossEL@myuni.db,Social Work
Lila,Karson,Perkins,2344770061,21-Jun-95,"9006 Parker Street, Yorktown Heights, NY 10598",(765) 785-3381,perkinsLI@myuni.db,Science
Diana,Layana,Robertson,2344242203,07-Dec-96,"878 S. 10th Dr., Thomasville, NC 27360",(440) 613-2693,robertsonDI@myuni.db,Social Work
Nyla,Lilli,Palmer,2344489464,19-Jan-04,"411 New Saddle Lane, Satellite Beach, FL 32937",(708) 781-1318,palmerNY@myuni.db,Engineering
Hope,Maricela,Brady,2344404404,12-Feb-96,"9997 E. Forest St., Orchard Park, NY 14127",(951) 208-9190,bradyHO@myuni.db,Architecture
Kaia,Merci,Rowe,2344297169,05-Dec-96,"159 South Lexington Court, Brownsburg, IN 46112",(839) 557-8362,roweKA@myuni.db,Agriculture
Alyssa,Miraya,Zhang,2344648468,08-Oct-96,"9340 Corona St., Centereach, NY 11720",(407) 510-8772,zhangAL@myuni.db,Social Work
